packageName,className,methodName,mcrCategories,mcrTags
org.aksw.agdistis.model,NamedEntity,setNamedEntity,none,none
org.aksw.agdistis.datatypes,Label,toString,none,none
org.aksw.agdistis.algorithm,CandidateUtil,.,null,null
org.aksw.agdistis.algorithm,CandidateUtil,.,null,null
org.aksw.agdistis.datatypes,Candidate,.,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,getNodeType,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setNodeType,none,none
org.aksw.agdistis.graph,Node,hashCode,none,none
org.aksw.agdistis.model,NamedEntity,.,none,none
org.aksw.agdistis.model,Result,getDetectedLanguage,none,none
org.aksw.agdistis.util,Triple,getSubject,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setMaxDepth,none,none
org.aksw.agdistis.datatypes,Label,getCandidates,none,none
org.aksw.agdistis.model,NamedEntity,toString,none,none
org.aksw.agdistis.datatypes,DocumentText,getValue,none,none
null,TripleIndexTest,testRdfsLabel,null,null
null,TripleIndexTest,testRdfsLabel,null,null
org.aksw.agdistis.datatypes,DocumentText,setText,none,none
org.aksw.agdistis.graph,PageRank,computeDistance,none,none
null,TripleIndexTest,.,null,null
org.aksw.agdistis.graph,Node,getCandidateURI,none,none
org.aksw.agdistis.graph,Node,removePredecessor,none,none
null,AGDISTISTest,testContext,null,null
org.aksw.agdistis.graph,Node,setPageRankNew,none,none
org.aksw.agdistis.graph,Node,setAuthorityWeight,none,none
null,TripleIndexTest,testdirectLink,null,null
null,TripleIndexTest,testdirectLink,null,null
org.aksw.agdistis.algorithm,CandidateUtil,searchCandidatesByContext,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,updateIndex,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,updateIndex,null,null
org.aksw.agdistis.datatypes,Document,DocumentText,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,sparql,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,addDocumentToIndex,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,addDocumentToIndex,null,null
null,AGDISTISTest,testinterpunctation,null,null
org.aksw.agdistis.graph,BreadthFirstSearch,run,null,null
org.aksw.agdistis.model,AgdistisEntity,hashCode,none,none
org.aksw.agdistis.model,FrontendContent,hashCode,none,none
org.aksw.agdistis.util,TripleIndexCreator,addDocumentToIndex,null,null
org.aksw.agdistis.util,TripleIndexCreator,addDocumentToIndex,null,null
org.aksw.agdistis.util,TripleIndexCreator,indexTSVFile,null,null
org.aksw.agdistis.util,TripleIndexCreator,indexTSVFile,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setIndex,none,none
org.aksw.agdistis.util,Stemming,main,none,none
org.aksw.agdistis.util,Triple,compareTo,none,none
org.aksw.agdistis.util,Word2num,.,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getSingleWordLabel,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,setDomain,none,none
org.aksw.agdistis.graph,HITS,.,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,equals,none,none
org.aksw.agdistis.model,NamedEntity,getNamedEntity,none,none
org.aksw.agdistis.util,Triple,toString,none,none
org.aksw.agdistis.algorithm,CandidateUtil,isDisambiguationResource,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,main,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,main,null,null
org.aksw.agdistis.algorithm,CandidateUtil,close,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,iterator,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getNamedEntityUri,none,none
org.aksw.agdistis.datatypes,DocumentText,parseValue,none,none
org.aksw.agdistis.model,Result,hashCode,none,none
null,TripleIndexCreatorTest,.,null,null
org.aksw.agdistis.model,CandidatesScore,compareTo,none,none
null,TripleIndexTest,close,null,null
null,TripleIndexTest,close,null,null
org.aksw.agdistis.datatypes,NamedEntityInText,setLength,none,none
org.aksw.agdistis.model,AgdistisEntity,equals,none,none
org.aksw.agdistis.model,NamedEntity,setOffset,none,none
org.aksw.agdistis.util,TripleIndex,getFromIndex,null,null
org.aksw.agdistis.util,TripleIndex,getFromIndex,null,null
org.aksw.agdistis.graph,BreadthFirstSearch,.,none,none
org.aksw.agdistis.algorithm,CorporationAffixCleaner,.,none,none
org.aksw.agdistis.util,LiteralAnalyzer,.,null,null
org.aksw.agdistis.datatypes,NamedEntityInText,.,none,none
org.aksw.agdistis.datatypes,Document,setDocumentId,none,none
org.aksw.agdistis.datatypes,Label,.,none,none
