packageName,className,methodName,api,mcrCategories,mcrTags
org.dependencytrack.persistence,QueryManager,createPolicyCondition,none,none,none
org.dependencytrack.persistence,QueryManager,getPortfolioMetricsSince,none,none,none
org.dependencytrack.policy,SeverityPolicyEvaluator,.,us.springett:alpine,null,null
org.dependencytrack.resources.v1,NotificationRuleResource,removeProjectFromRule,us.springett:alpine,null,null
org.dependencytrack.upgrade.v420,v420Updater,.,us.springett:alpine,null,null
org.dependencytrack.util,ComponentVersion,hashCode,none,none,none
org.dependencytrack.util,VulnerabilityUtil,.,none,none,none
org.dependencytrack.model,DependencyMetricsTest,testMedium,none,none,none
org.dependencytrack.resources.v1,NotificationRuleResourceTest,removeProjectFromRuleInvalidScopeTest,us.springett:alpine,null,null
org.dependencytrack.util,HashUtilTest,testMd5,none,none,none
org.dependencytrack.util,InternalComponentIdentificationUtilTest,testParameters,none,none,none
org.dependencytrack.model,DataClassification,.,none,none,none
org.dependencytrack.model,DependencyMetrics,getPolicyViolationsOperationalAudited,none,none,none
org.dependencytrack.model,NotificationPublisher,setDefaultPublisher,none,none,none
org.dependencytrack.parser.npm.model,Advisory,setCves,none,none,none
org.dependencytrack.tasks.repositories,CargoMetaAnalyzer,isApplicable,com.github.package-url:packageurl-java,null,null
org.dependencytrack.notification,NotificationRouterTest,testValidNonMatchingRule,us.springett:alpine,null,null
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,createGroupShouldIndicateConflictWhenGroupAlreadyExists,us.springett:alpine,null,null
org.dependencytrack.search,ComponentIndexerTest,addTest,none,none,none
org.dependencytrack.model,Component,setSha3_256,none,none,none
org.dependencytrack.model,DependencyMetrics,setId,none,none,none
org.dependencytrack.model,PolicyViolation,getType,none,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsLicenseUnaudited,none,none,none
org.dependencytrack.model,Tag,getName,none,none,none
org.dependencytrack.model,VulnerableSoftware,setVersionEndExcluding,none,none,none
org.dependencytrack.notification.publisher,SlackPublisher,.,io.pebbletemplates:pebble,null,null
org.dependencytrack.notification.vo,NewVulnerabilityIdentified,getVulnerability,none,none,none
org.dependencytrack.persistence,LicenseQueryManager,createLicense,us.springett:alpine,null,null
org.dependencytrack.persistence,MetricsQueryManager,getDependencyMetricsSince,none,none,none
org.dependencytrack.persistence,QueryManager,getServiceComponents,us.springett:alpine,null,null
org.dependencytrack.persistence,QueryManager,getAllNotificationPublishers,none,none,none
org.dependencytrack.persistence,VulnerabilityQueryManager,getProjects,none,none,none
org.dependencytrack.resources.v1,LdapResource,addMapping,us.springett:alpine,null,null
org.dependencytrack.tasks,BomUploadProcessingTask,processComponent,us.springett:alpine,null,null
org.dependencytrack.util,NotificationUtil,.,none,none,none
org.dependencytrack.util,PurlUtil,silentPurlCoordinatesOnly,com.github.package-url:packageurl-java,null,null
org.dependencytrack.model,ComponentTest,testGroup,none,none,none
org.dependencytrack.policy,CoordinatesPolicyEvaluatorTest,wrongSubject,none,none,none
org.dependencytrack.resources.v1,SearchResourceTest,searchComponentTest,none,none,none
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,.,none,none,none
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,createOidcUserDuplicateUsernameTest,us.springett:alpine,null,null
org.dependencytrack.model,ExternalReference,setComment,none,none,none
org.dependencytrack.model,NotificationPublisher,setName,none,none,none
org.dependencytrack.model,Project,getGroup,none,none,none
org.dependencytrack.model,Project,getMetrics,none,none,none
org.dependencytrack.model,ProjectProperty,setPropertyType,us.springett:alpine,null,null
org.dependencytrack.model,ServiceComponent,getLastInheritedRiskScore,none,none,none
org.dependencytrack.model,Vulnerability,getUuid,none,none,none
org.dependencytrack.model,VulnerableSoftware,getOther,none,none,none
org.dependencytrack.notification,NotificationSubsystemInitializer,.,us.springett:alpine,null,null
org.dependencytrack.parser.cyclonedx.util,ModelConverter,convert,us.springett:alpine,null,null
org.dependencytrack.parser.cyclonedx.util,ModelConverter,convert,org.cyclonedx:cyclonedx-core-java,null,null
org.dependencytrack.parser.cyclonedx.util,ModelConverter,convert,com.github.package-url:packageurl-java,null,null
org.dependencytrack.parser.ossindex.model,ComponentReport,getReference,none,none,none
org.dependencytrack.parser.ossindex,OssIndexParser,.,us.springett:alpine,null,null
org.dependencytrack.persistence,MetricsQueryManager,getPortfolioMetricsSince,none,none,none
org.dependencytrack.persistence,QueryManager,matchIdentity,none,none,none
org.dependencytrack.persistence,QueryManager,getAllServiceComponents,none,none,none
org.dependencytrack.persistence,QueryManager,getNotificationPublisher,none,none,none
org.dependencytrack.resources.v1,NotificationPublisherResource,getAllNotificationPublishers,us.springett:alpine,null,null
org.dependencytrack.search,VulnerableSoftwareIndexer,getSearchFields,none,none,none
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,.,us.springett:alpine,null,null
org.dependencytrack.util,HashUtil,sha256,none,none,none
org.dependencytrack.resources.v1,PermissionResourceTest,addPermissionToTeamInvalidPermissionTest,us.springett:alpine,null,null
org.dependencytrack.resources.v1,SearchResourceTest,searchLicenseTest,none,none,none
org.dependencytrack.model,DependencyMetrics,getPolicyViolationsSecurityUnaudited,none,none,none
org.dependencytrack.model,ProjectMetrics,getProject,none,none,none
org.dependencytrack.model,ViolationAnalysis,getProject,none,none,none
org.dependencytrack.persistence,QueryManager,getFindings,none,none,none
org.dependencytrack.persistence,VulnerabilityQueryManager,getFindingAttribution,none,none,none
org.dependencytrack.tasks,MetricsUpdateTask,inform,us.springett:alpine,null,null
org.dependencytrack.util,HashUtil,md5,none,none,none
org.dependencytrack.model,DependencyMetricsTest,testId,none,none,none
org.dependencytrack.model,PolicyTest,testName,none,none,none
org.dependencytrack.search,LicenseIndexerTest,getIndexTypeTest,none,none,none
org.dependencytrack.tasks.repositories,PypiMetaAnalyzerTest,testAnalyzer,com.github.package-url:packageurl-java,null,null
org.dependencytrack.model,Component,setBlake2b_256,none,none,none
org.dependencytrack.model,Component,setVulnerabilities,none,none,none
org.dependencytrack.model,Component,setNotes,none,none,none
org.dependencytrack.persistence,QueryManager,getProject,none,none,none
org.dependencytrack.persistence,QueryManager,getPolicyViolations,us.springett:alpine,null,null
org.dependencytrack.resources.v1.vo,DependencyRequest,getNotes,none,none,none
org.dependencytrack.model,LicenseGroupTest,testId,none,none,none
org.dependencytrack.model,VulnerabilityTest,testSeverity,none,none,none
org.dependencytrack.model,VulnerableSoftwareTest,testUuid,none,none,none
org.dependencytrack.model,Cwe,getName,none,none,none
org.dependencytrack.model,OrganizationalContact,setEmail,none,none,none
org.dependencytrack.model,ServiceComponent,getGroup,none,none,none
org.dependencytrack.model,ServiceComponent,setProject,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubVulnerability,setFirstPatchedVersionIdentifier,none,none,none
org.dependencytrack.parser.nvd,ModelConverter,convertCpe23Uri,us.springett:cpe-parser,null,null
org.dependencytrack.persistence,PolicyQueryManager,deletePolicy,us.springett:alpine,null,null
org.dependencytrack.persistence,ProjectQueryManager,.,us.springett:alpine,null,null
org.dependencytrack.persistence,QueryManager,getAllVulnerabilities,none,none,none
org.dependencytrack.search,ComponentIndexer,reindex,us.springett:alpine,null,null
org.dependencytrack.search,IndexManager,commit,us.springett:alpine,null,null
org.dependencytrack.search,IndexManager,commit,org.apache.lucene:lucene-core,null,null
org.dependencytrack.upgrade.v410,v410Updater,getSchemaVersion,none,none,none
org.dependencytrack.notification,NotificationRouterTest,testValidMatchingProjectLimitingRule,us.springett:alpine,null,null
org.dependencytrack.event,DefectDojoUploadEventAbstract,.,none,none,none
org.dependencytrack.model,FindingAttribution,getComponent,none,none,none
org.dependencytrack.model,Vulnerability,getSource,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,addIdentifier,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubVulnerability,getVulnerableVersionRange,none,none,none
org.dependencytrack.persistence,PolicyQueryManager,updatePolicyCondition,us.springett:alpine,null,null
org.dependencytrack.resources.v1,RepositoryResource,getRepositoriesByType,us.springett:alpine,null,null
org.dependencytrack.search,IndexManager,getIndexSearcher,org.apache.lucene:lucene-core,null,null
org.dependencytrack.search,SearchManager,searchProjectIndex,none,none,none
org.dependencytrack.tasks,BomUploadProcessingTask,.,us.springett:alpine,null,null
org.dependencytrack.tasks,InternalComponentIdentificationTask,inform,us.springett:alpine,null,null
org.dependencytrack.tasks.scanners,ScanTask,isCapable,none,none,none
org.dependencytrack.common,UnirestFactoryTest,httpClientTest,com.konghq:unirest-java,null,null
org.dependencytrack.notification.publisher,MsTeamsPublisherTest,testPublish,us.springett:alpine,null,null
org.dependencytrack.notification.vo,NewVulnerableDependencyTest,testVo,none,none,none
org.dependencytrack.resources.v1,ProjectResourceTest,getProjectsByNameActiveOnlyRequestTest,none,none,none
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,createManagedUserDuplicateUsernameTest,us.springett:alpine,null,null
org.dependencytrack.search,ComponentIndexerTest,.,none,none,none
org.dependencytrack.model,DependencyMetrics,setPolicyViolationsInfo,none,none,none
org.dependencytrack.model,NotificationRule,setMessage,none,none,none
org.dependencytrack.model,Vulnerability,getTitle,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,getVulnerabilities,none,none,none
org.dependencytrack.persistence,QueryManager,reconcileServiceComponents,none,none,none
org.dependencytrack.resources.v1,PermissionResource,removePermissionFromTeam,us.springett:alpine,null,null
org.dependencytrack.search,ServiceComponentIndexer,remove,us.springett:alpine,null,null
org.dependencytrack.search,ServiceComponentIndexer,remove,org.apache.lucene:lucene-core,null,null
org.dependencytrack.model,PortfolioMetricsTest,testComponents,none,none,none
org.dependencytrack.model,RepositoryTypeTest,testEnums,none,none,none
