packageName,className,methodName,api,mcrCategories,mcrTags
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,getDocumentsWithWords,com.carrotsearch:hppc,null,null
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,.,junit:junit,null,null
org.aksw.palmetto.webapp,PerformanceTest,.,none,none,none
org.aksw.palmetto.calculations.direct,LogLikelihoodConfirmationMeasure,getName,none,none,none
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,createComponents,org.apache.lucene:lucene-core,null,null
org.aksw.palmetto.corpus.lucene,SimpleAnalyzer,createComponents,org.apache.lucene:lucene-analyzers-common,null,null
org.aksw.palmetto.data,SegmentationDefinition,setNeededCounts,com.carrotsearch:hppc,null,null
org.aksw.palmetto.prob,ProbabilityEstimator,getProbabilities,none,none,none
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,test,junit:junit,null,null
org.aksw.palmetto.sum,QuadraticMeanTest,.,junit:junit,null,null
org.aksw.palmetto.subsets,AbstractAnyBasedSegmentator,createOrIncreaseFactorials,none,none,none
org.aksw.palmetto.corpus.lucene,WindowSupportingLuceneCorpusAdapter,getDocumentSizeHistogram,none,none,none
org.aksw.palmetto.prob.decorator,FrequencyDeterminerDecorator,.,none,none,none
org.aksw.palmetto.prob,ListBasedBooleanDocumentFrequencyDeterminerTest,test,junit:junit,null,null
org.aksw.palmetto.vector,AbstractVectorCreatorTest,getFrequencyDeterminer,none,none,none
org.aksw.palmetto.prob.decorator,FrequencyDeterminerDecorator,setDeterminer,none,none,none
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,close,none,none,none
org.aksw.palmetto.sum,GeometricMeanTest,.,junit:junit,null,null
org.aksw.palmetto.webapp.config,RootConfig,createCoherences,none,none,none
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,determineCounts,com.carrotsearch:hppc,null,null
