packageName,className,methodName,mcrCategories,mcrTags
org.dependencytrack.resources.v1,PolicyResource,updatePolicy,null,null
org.dependencytrack.search,IndexManager,delete,null,null
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,.,null,null
org.dependencytrack.util,DateUtil,.,none,none
org.dependencytrack.resources.v1,LicenseResourceTest,loadDefaultLicenses,none,none
org.dependencytrack.resources.v1,RepositoryResourceTest,configureDeployment,null,null
org.dependencytrack.resources.v1,TeamResourceTest,regenerateApiKeyTest,null,null
org.dependencytrack.model,ICpe,getLanguage,none,none
org.dependencytrack.model,LicenseGroup,setId,none,none
org.dependencytrack.model,Vulnerability,setVulnId,none,none
org.dependencytrack.model,VulnerableSoftware,getPurlVersion,none,none
org.dependencytrack.model,VulnerableSoftware,setPurlSubpath,none,none
org.dependencytrack.persistence,QueryManager,contains,none,none
org.dependencytrack.resources.v1,SearchResource,licenseSearch,null,null
org.dependencytrack.resources.v1.vo,ViolationAnalysisRequest,getComponent,none,none
org.dependencytrack.search,VulnerabilityIndexer,getSearchFields,none,none
org.dependencytrack.tasks.repositories,GoModulesMetaAnalyzer,supportedRepositoryType,none,none
org.dependencytrack.common,ManagedHttpClientTest,objectTest,none,none
org.dependencytrack.event,NpmAuditAnalysisEventTest,testComponentConstructor,none,none
org.dependencytrack.model,VulnerabilityTest,testPublished,none,none
org.dependencytrack,PersistenceCapableTest,.,none,none
org.dependencytrack.resources.v1,PermissionResourceTest,configureDeployment,null,null
org.dependencytrack.resources.v1,PolicyResourceTest,createPolicyTest,null,null
org.dependencytrack.search,LicenseIndexerTest,addTest,none,none
org.dependencytrack.model,ComponentAnalysisCache,getCacheType,none,none
org.dependencytrack.model,DependencyMetrics,setPolicyViolationsLicenseAudited,none,none
org.dependencytrack.model,FindingAttribution,setAttributedOn,none,none
org.dependencytrack.model,ServiceComponent,getName,none,none
org.dependencytrack.model,Vulnerability,getCvssV3Vector,none,none
org.dependencytrack.resources.v1,PolicyConditionResource,.,null,null
org.dependencytrack.resources.v1,ProjectResource,getProject,null,null
org.dependencytrack.resources.v1,ProjectResource,deleteProject,null,null
org.dependencytrack.tasks.scanners,VulnDbAnalysisTask,processResults,null,null
org.dependencytrack.upgrade,UpgradeInitializer,contextInitialized,null,null
org.dependencytrack.exception,ParseExceptionTest,testThrowableConstructor,none,none
org.dependencytrack.model,NotificationPublisherTest,testTemplate,none,none
org.dependencytrack.notification.publisher,DefaultNotificationPublishersTest,testEmail,none,none
org.dependencytrack.resources.v1,VulnerabilityResourceTest,getAffectedProjectInvalidTest,none,none
org.dependencytrack.search,LicenseIndexerTest,reindexTest,none,none
org.dependencytrack.model,DependencyMetrics,setHigh,none,none
org.dependencytrack.model,DependencyMetrics,setPolicyViolationsOperationalTotal,none,none
org.dependencytrack.model,FindingAttribution,setAnalyzerIdentity,none,none
org.dependencytrack.model,Project,getProperties,none,none
org.dependencytrack.model,ViolationAnalysis,getComponent,none,none
org.dependencytrack.parser.npm.model,Advisory,setReportedBy,none,none
org.dependencytrack.persistence,CweImporter,.,null,null
org.dependencytrack.resources.v1,MetricsResource,getProjectMetricsXDays,null,null
org.dependencytrack.resources.v1,MetricsResource,RefreshComponentMetrics,null,null
org.dependencytrack.resources.v1.vo,DependencyRequest,getProjectUuid,none,none
org.dependencytrack.model,ComponentTest,testDescription,none,none
org.dependencytrack.model,CpeTest,testTitle,none,none
org.dependencytrack.model,VulnerabilityMetricsTest,testYear,none,none
org.dependencytrack.resources.v1,AnalysisResourceTest,retrieveAnalysisInvalidProjectUuidTest,none,none
org.dependencytrack.resources.v1,CweResourceTest,getCwesTest,none,none
