packageName,className,apis
org.aksw.palmetto.subsets,OneSet,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.indirect,JaccardBasedCalculationTest,[junit:junit]
org.aksw.palmetto.vector,AbstractProbCalcBasedVectorCreatorTest,[junit:junit]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,"[junit:junit,org.apache.lucene:lucene-core]"
org.aksw.palmetto.sum,AbstractSummarizationTest,[junit:junit]
org.aksw.palmetto.subsets,OneAllTest,[junit:junit]
org.aksw.palmetto.subsets,OneOne,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,LogCondProbCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,"[com.carrotsearch:hppc,junit:junit,org.slf4j:slf4j-api]"
org.aksw.palmetto.subsets,OneOneAndSelfTest,[junit:junit]
org.aksw.palmetto.calculations.indirect,CentroidConfirmationMeasure,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplierTest,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.vector,JaccardCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.subsets,AllAllTest,[junit:junit]
org.aksw.palmetto.vector,CondProbCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.subsets,OneSucceeding,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.indirect,CosinusBasedCoherenceTest,[junit:junit]
org.aksw.palmetto.io,GoldStandardReader,"[com.carrotsearch:hppc,commons-io:commons-io,org.slf4j:slf4j-api]"
org.aksw.palmetto.calculations.direct,OlssonsCoherenceCalculationTest,[junit:junit]
org.aksw.palmetto.calculations.indirect,CentroidBasedCoherenceTest,[junit:junit]
org.aksw.palmetto.vector,AbstractVectorCreatorTest,[junit:junit]
org.aksw.palmetto.vector,ProbabilityBasedVectorCreatorTest,[junit:junit]
org.aksw.palmetto.data,SegmentationDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,LogCondProbCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.webapp.config,PalmettoConfiguration,"[commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.corpus,BooleanDocumentSupportingAdapter,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,LogLikelihoodCalculationBasedCreatorTest,[junit:junit]
org.aksw.palmetto.subsets,AllOneTest,[junit:junit]
org.aksw.palmetto.subsets,OneAny,[com.carrotsearch:hppc]
org.aksw.palmetto.sum,HarmonicMeanTest,[junit:junit]
org.aksw.palmetto.io,SimpleWordSetReader,[org.slf4j:slf4j-api]
org.aksw.palmetto.subsets,AnyAnyTest,[junit:junit]
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,[junit:junit]
