packageName,className,methodName,apis
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerCountingTest,requestWordPositionsInDocuments,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,LogRatioCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getDocumentsWithWordsAsSet,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,LogCondProbCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.subsets,AbstractSegmentatorTest,testSubsetCreator,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,"","[junit:junit,org.slf4j:slf4j-api]"
org.aksw.palmetto.vector,LogLikelihoodCalculationBasedCreatorTest,data,[junit:junit]
org.aksw.palmetto.webapp.config,RootConfig,createCACoherence,"[commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculation,calculateConfirmationValues,[com.carrotsearch:hppc]
org.aksw.palmetto.prob,BooleanSlidingWindowFrequencyDeterminerSumCreationTest,data,[junit:junit]
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,getNumberOfDocuments,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.palmetto.corpus.lucene,SlidingWindowCounter,determineCount,[com.carrotsearch:hppc]
org.aksw.palmetto.webapp,DfClient,testSucces,[junit:junit]
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCoherenceTest,test,[junit:junit]
org.aksw.palmetto.prob.bd,BooleanDocumentProbabilitySupplierTest,"",[junit:junit]
org.aksw.palmetto.subsets,OneSet,getSubsetDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,JaccardCalculationBasedCreatorTest,"",[junit:junit]
org.aksw.palmetto.vector,NormalizedLogRatioCalculationBasedCreatorTest,data,[junit:junit]
org.aksw.palmetto.corpus.lucene,SimpleAnalyzerTest,test,"[junit:junit,org.apache.lucene:lucene-core]"
org.aksw.palmetto.calculations.indirect,CosinusBasedCoherenceTest,data,[junit:junit]
org.aksw.palmetto.corpus,BooleanDocumentSupportingAdapter,getDocumentsWithWords,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,data,[junit:junit]
org.aksw.palmetto.subsets,AnyAny,getSubsetDefinitionWithRestrictions,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,LogLikelihoodCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,determineCounts,[com.carrotsearch:hppc]
org.aksw.palmetto,Palmetto,getCorpusAdapter,[org.slf4j:slf4j-api]
org.aksw.palmetto.sum,QuadraticMeanTest,data,[junit:junit]
org.aksw.palmetto.calculations.direct,NormalizedLogRatioCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.vector,CondProbCalculationBasedCreatorTest,"",[junit:junit]
org.aksw.palmetto.corpus,WindowSupportingAdapter,requestWordPositionsInDocuments,[com.carrotsearch:hppc]
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,test,[junit:junit]
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,data,[junit:junit]
org.aksw.palmetto.prob,ContextWindowFrequencyDeterminerCountingTest,test,"[com.carrotsearch:hppc,junit:junit]"
org.aksw.palmetto.weight,ConditionalProbabilityBasedWeighterTest,test,[junit:junit]
org.aksw.palmetto.prob.window,ContextWindowFrequencyDeterminer,addCountsFromDocument,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,AnyAnyTest,test,[junit:junit]
org.aksw.palmetto.corpus,BooleanDocumentSupportingAdapter,getDocumentsWithWord,[com.carrotsearch:hppc]
org.aksw.palmetto,Palmetto,getCoherence,[org.slf4j:slf4j-api]
org.aksw.palmetto.calculations.indirect,CosinusBasedCoherenceTest,"",[junit:junit]
org.aksw.palmetto.io,GoldStandardReader,"",[org.slf4j:slf4j-api]
org.aksw.palmetto.calculations.direct,OlssonsCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.subsets,OnePrecedingTest,testWordSetLength4,[junit:junit]
org.aksw.palmetto.calculations.indirect,CentroidBasedCoherenceTest,"",[junit:junit]
org.aksw.palmetto.calculations.indirect,DiceBasedCalculationTest,data,[junit:junit]
org.aksw.palmetto.io,SimpleWordSetReader,readWordSets,[org.slf4j:slf4j-api]
org.aksw.palmetto,PairwiseTopicComparingSegmentator,getSubsetDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.vector,ProbabilityBasedVectorCreatorTest,"",[junit:junit]
org.aksw.palmetto.data,SegmentationDefinition,"",[com.carrotsearch:hppc]
org.aksw.palmetto,Palmetto,main,[org.slf4j:slf4j-api]
