packageName,className,methodName,apis
proj.zoie.impl.indexing.internal,DiskSearchIndex,getNumdocs,[org.apache.lucene:lucene-core]
proj.zoie.test,HourglassTest,doTrimmingTest,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,ZoieMultiReader,isDeleted,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,BaseSearchIndex,closeIndexWriter,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,DiskLuceneIndexDataLoader,propagateDeletes,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing.internal,IndexReaderDispenser,getNewReader,[log4j:log4j]
proj.zoie.impl.indexing.internal,SearchIndexManager,refreshDiskReader,[log4j:log4j]
proj.zoie.store,LuceneStore,commitVersion,[org.apache.lucene:lucene-core]
proj.zoie.store,LuceneStore,persistDelete,"[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.api,IndexReaderFactory,getAnalyzer,[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,setNextUpdateTime,[log4j:log4j]
proj.zoie.api.impl,ZoieMergePolicy,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.hourglass.impl,Hourglass,returnIndexReaders,[log4j:log4j]
proj.zoie.impl.indexing,StreamDataProvider,stop,[log4j:log4j]
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,RAMSearchIndex,close,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,ZoieSegmentReader,getStoredValue,[org.apache.lucene:lucene-core]
proj.zoie.perf.client,ZoiePerf,buildPerfHandler,[commons-configuration:commons-configuration]
proj.zoie.api,ZoieMultiReader,reopen,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,LongSetAccelerator,iterator,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing,ZoieSystem,returnIndexReaders,[log4j:log4j]
proj.zoie.impl.indexing.internal,DiskSearchIndex,openIndexWriter,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api,ZoieSegmentReader,"","[it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,LongSetAccelerator,toLongArray,[it.unimi.dsi:fastutil]
proj.zoie.hourglass.impl,Hourglass,start,[log4j:log4j]
