packageName,className,methodName,apis
org.dependencytrack.persistence,VulnerabilityQueryManager,getVulnerabilities,[us.springett:alpine]
org.dependencytrack.resources.v1,RepositoryResource,deleteRepository,[us.springett:alpine]
org.dependencytrack.common,UnirestFactoryTest,instanceTest,[com.konghq:unirest-java]
org.dependencytrack.resources.v1,LicenseGroupResource,getLicenseGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,PermissionResourceTest,addPermissionToUserInvalidPermissionTest,[us.springett:alpine]
org.dependencytrack.resources.v1,ServiceResource,getAllServices,[us.springett:alpine]
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzerTest,"",[org.mock-server:mockserver-netty]
org.dependencytrack.integrations.defectdojo,DefectDojoClientTest,afterClass,[org.mock-server:mockserver-netty]
org.dependencytrack.integrations.fortifyssc,FortifySscUploader,isEnabled,[us.springett:alpine]
org.dependencytrack.notification.publisher,MsTeamsPublisherTest,"",[org.mock-server:mockserver-netty]
org.dependencytrack.persistence,QueryManager,getLicenseGroups,[us.springett:alpine]
org.dependencytrack.resources.v1,OidcResource,deleteGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResourceTest,removeProjectFromPolicyTest,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceUnauthenticatedTest,validateCredentialsSuspendedTest,[us.springett:alpine]
org.dependencytrack.tasks,TaskScheduler,"",[us.springett:alpine]
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,inform,[us.springett:alpine]
org.dependencytrack.resources.v1,AbstractConfigPropertyResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,AnalysisResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,retrieveGroupsShouldReturnListOfGroups,[us.springett:alpine]
org.dependencytrack.resources.v1,VulnerabilityResource,getAllVulnerabilities,[us.springett:alpine]
org.dependencytrack.persistence,RepositoryQueryManager,updateRepository,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectPropertyResourceTest,createPropertyTest,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,updateManagedUserInvalidUsernameTest,[us.springett:alpine]
org.dependencytrack.tasks,NpmAdvisoryMirrorTask,inform,[us.springett:alpine]
org.dependencytrack.tasks.repositories,CargoMetaAnalyzer,analyze,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.model,ProjectProperty,getPropertyType,[us.springett:alpine]
org.dependencytrack.persistence,DefaultObjectGenerator,loadDefaultPersonas,[us.springett:alpine]
org.dependencytrack.tasks.repositories,GemMetaAnalyzerTest,testAnalyzer,[com.github.package-url:packageurl-java]
org.dependencytrack.model,Policy,"",[us.springett:alpine]
org.dependencytrack.notification.publisher,ConsolePublisher,inform,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.resources.v1,ProjectPropertyResourceTest,updatePropertyTest,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,getComponentMetrics,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,updateSelfTest,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,updateSelfUnauthorizedTest,[us.springett:alpine]
org.dependencytrack.tasks,NpmAdvisoryMirrorTask,"",[us.springett:alpine]
org.dependencytrack.upgrade.v420,v420Updater,"",[us.springett:alpine]
org.dependencytrack.event,ClearComponentAnalysisCacheEvent,"",[us.springett:alpine]
org.dependencytrack.resources.v1,CalculatorResource,getCvssScores,[us.springett:cvss-calculator]
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,addMappingShouldIndicateConflictWhenMappingAlreadyExists,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResource,"",[us.springett:alpine]
org.dependencytrack.model,ExternalReference,getType,[org.cyclonedx:cyclonedx-core-java]
org.dependencytrack.persistence,PackageURLStringConverter,"",[us.springett:alpine]
org.dependencytrack.resources.v1,LicenseGroupResource,addLicenseToLicenseGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,createProject,[us.springett:alpine]
org.dependencytrack.integration,ApiClient,createProject,[com.konghq:unirest-java]
org.dependencytrack.resources.v1,LdapResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.notification.publisher,WebhookPublisher,"",[io.pebbletemplates:pebble]
org.dependencytrack.parser.npm,NpmAdvisoriesParser,"",[us.springett:alpine]
